Cell Line,Condition ,Group,IL-6,IL-8,TNF-alpha ,HMGB1,NFKB,pNFKB Value,NAMPT,MyD88,2^(146),2^(181),SOD1,Catalase,2^(200),eNOS,peNOS,2^(126),p21,p38,pp38,2^(34),C3,CC3,2^(Let-7)
HUVEC 49-3,A035,CTL ,69.7,54.4,3.2,265.9826283,782.1174033,124.8475428,35.02854566,26.10876833,0.004712221,0.149142187,128.6617079,418.3905576,0.000329721,115.2881793,267.1262791,3.923370389,140.2938136,303.3708269,129.2564861,0.024107427,232.2010212,165.538956,0.388313245
HUVEC 49-3,A039,CTL ,74.1,59.9,3.71,843.2767325,927.1714424,147.8846657,,,0.00401775,0.105300962,139.5143626,405.2796732,0.000221887,124.1366999,359.3951935,2.532791339,170.9824641,271.9760947,79.78661526,0.019735728,175.018318,240.9057993,0.286841569
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
HUVEC 50-3,A001,CMS,85.9,58.5,3.93,339.5114557,544.4385071,146.2141713,36.70699483,25.41282096,0.001828928,0.064690832,159.1765712,381.2410152,0.000148326,100.0661149,282.5854546,1.066081496,123.6674407,130.0525671,34.54131153,0.015902806,126.2158242,148.548271,0.152849889
HUVEC 49-3,A003,CMS,82.6,67.6,4.9,664.5879524,1000.326639,243.1661609,70.41963225,42.40447319,0.003054082,0.085496684,206.8750048,528.1892576,0.000181036,168.0536328,272.7973897,1.979954053,162.3789019,442.9917961,85.07344262,0.01823639,167.3419733,169.0295567,0.157653236
HUVEC 49-3,A006,CMS,81.7,48,3.74,329.95933,291.9698762,147.5372535,52.02436338,35.88545968,0.002764698,0.085002103,148.1940687,404.6361101,0.000144984,102.6667692,142.5231425,1.662201202,138.0174594,199.0276526,93.18608496,0.015832752,128.2676075,153.1414629,0.238811425
HUVEC 49-3,A009,CMS,91.3,53.8,3.65,549.7199861,922.2266004,218.3754044,99.63760137,37.01343299,0.002964852,0.077010084,127.2805109,377.1787312,0.000308528,148.8153057,259.2455591,1.582670585,119.7579267,148.2419001,53.88563311,0.032462121,235.1366495,69.84680149,0.176161591
HUVEC 49-3,A011,CMS,71,76.5,4.33,247.709592,277.9440484,179.1751972,87.92849199,27.32050935,0.002518085,0.075885973,130.0935696,416.1352221,0.000220772,104.264565,253.5142448,1.944565048,72.90205596,119.4592642,161.0838402,0.027992434,278.0583653,153.8166869,0.160845844
HUVEC 49-3,A016,CMS,99.2,54.3,3.73,363.8662781,386.4879156,172.8108425,118.5602635,40.88830379,0.002359292,0.091562917,98.38759245,348.5981909,0.000307224,156.5557274,147.9124864,1.470366267,109.7721491,203.564857,60.13351565,0.030806302,209.6923337,97.2270636,0.13895076
HUVEC 49-3,A017,CMS,82.2,58.9,3.98,533.2280839,852.2331466,214.0434923,34.22479852,25.71094786,0.002996689,0.09141439,303.2891333,734.7959763,0.000200962,168.8760276,275.4808925,1.198599642,151.9364386,694.3469252,60.76994955,0.016814406,238.3382553,200.4686916,0.183913703
HUVEC 49-3,A018,CMS,99.5,70.9,4.54,707.9109225,1200.325138,246.7391245,,,0.003428787,0.091293793,140.8307679,453.9304871,0.000176486,136.1658584,247.2533905,2.088505289,153.4733929,256.3884579,98.12234977,0.018774906,283.2885232,122.1822875,0.145220282
HUVEC 49-3,A027,CMS,102.1,63.5,4,330.1690451,1066.11423,190.5582519,115.4040895,43.11280396,0.002315437,0.065299692,115.1208077,424.077875,0.00012005,106.5039398,208.15406,1.546543633,145.6157298,269.502561,71.90666898,0.015888435,24.33969128,291.4534852,0.170471481
HUVEC 49-3,A029,CMS,94.2,76.6,4.5,456.4382512,507.249737,99.1642513,20.47676706,19.05184494,0.003621538,0.090840065,129.1808715,399.8229073,0.000249547,176.5593767,264.0333927,2.260462017,99.94862838,0.129546441,117.0017314,0.020579752,134.5881045,150.0298628,0.207911128
HUVEC 50-3,A036,CMS,,,,571.972495,353.4905145,124.7187464,44.07026703,29.31978064,0.002268881,0.070913823,144.8277406,422.2425617,0.000145044,121.8137434,210.5515816,1.800521458,194.9668332,238.7252941,76.43233433,0.017708453,158.2300314,137.5402218,0.204598881
HUVEC 49-3,A040,CMS,86.3,71.8,5.81,1006.674582,974.6566814,236.948119,32.66691762,22.00396001,0.003718429,0.0941038,135.9170686,468.0708385,0.000200418,139.9690896,303.2159995,1.535646079,134.3735359,372.9117511,57.79133008,0.033831737,272.0689365,196.8430184,0.194955345
HUVEC 49-3,A043,CMS,86.8,49.2,3.52,176.5263631,212.2510161,90.59420766,49.85843186,26.68842589,0.00291929,0.086947145,57.47919522,200.470436,0.00021116,58.74900639,115.0721702,2.014888401,56.51498478,183.6820882,41.15398932,0.018028654,239.3181973,78.40081124,0.193951839
HUVEC 49-3,A046,CMS,105.1,57,3.85,233.7179926,545.4457424,120.9705782,95.2305322,33.35268504,0.003480141,0.092059527,123.6630954,429.7416163,0.000204479,142.7086438,255.9417228,2.089587805,95.06730706,309.1799728,3.737960263,0.01837779,73.90384276,169.0016673,0.222052266
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
